Rows,Block,Plot,Block_Plot,Herb_TRT,Nutrient_Trt,Disturbance_Trt
A11X1AmbientIntact,A,1,A1,1X1,Ambient,Intact
A12X2AmbientIntact,A,1,A1,2X2,Ambient,Intact
A13X3AmbientIntact,A,1,A1,3X3,Ambient,Intact
A1OpenAmbientIntact,A,1,A1,Open,Ambient,Intact
A21X1EnrichedIntact,A,2,A2,1X1,Enriched,Intact
A22X2EnrichedIntact,A,2,A2,2X2,Enriched,Intact
A23X3EnrichedIntact,A,2,A2,3X3,Enriched,Intact
A2OpenEnrichedIntact,A,2,A2,Open,Enriched,Intact
A31X1EnrichedDisturbed,A,3,A3,1X1,Enriched,Disturbed
A32X2EnrichedDisturbed,A,3,A3,2X2,Enriched,Disturbed
A33X3EnrichedDisturbed,A,3,A3,3X3,Enriched,Disturbed
A3OpenEnrichedDisturbed,A,3,A3,Open,Enriched,Disturbed
A41X1AmbientDisturbed,A,4,A4,1X1,Ambient,Disturbed
A42X2AmbientDisturbed,A,4,A4,2X2,Ambient,Disturbed
A43X3AmbientDisturbed,A,4,A4,3X3,Ambient,Disturbed
A4OpenAmbientDisturbed,A,4,A4,Open,Ambient,Disturbed
B11X1EnrichedDisturbed,B,1,B1,1X1,Enriched,Disturbed
B12X2EnrichedDisturbed,B,1,B1,2X2,Enriched,Disturbed
B13X3EnrichedDisturbed,B,1,B1,3X3,Enriched,Disturbed
B1OpenEnrichedDisturbed,B,1,B1,Open,Enriched,Disturbed
B21X1AmbientDisturbed,B,2,B2,1X1,Ambient,Disturbed
B22X2AmbientDisturbed,B,2,B2,2X2,Ambient,Disturbed
B23X3AmbientDisturbed,B,2,B2,3X3,Ambient,Disturbed
B2OpenAmbientDisturbed,B,2,B2,Open,Ambient,Disturbed
B31X1EnrichedIntact,B,3,B3,1X1,Enriched,Intact
B32X2EnrichedIntact,B,3,B3,2X2,Enriched,Intact
B33X3EnrichedIntact,B,3,B3,3X3,Enriched,Intact
B3OpenEnrichedIntact,B,3,B3,Open,Enriched,Intact
B41X1AmbientIntact,B,4,B4,1X1,Ambient,Intact
B42X2AmbientIntact,B,4,B4,2X2,Ambient,Intact
B43X3AmbientIntact,B,4,B4,3X3,Ambient,Intact
B4OpenAmbientIntact,B,4,B4,Open,Ambient,Intact
C11X1AmbientIntact,C,1,C1,1X1,Ambient,Intact
C12X2AmbientIntact,C,1,C1,2X2,Ambient,Intact
C13X3AmbientIntact,C,1,C1,3X3,Ambient,Intact
C1OpenAmbientIntact,C,1,C1,Open,Ambient,Intact
C21X1AmbientDisturbed,C,2,C2,1X1,Ambient,Disturbed
C22X2AmbientDisturbed,C,2,C2,2X2,Ambient,Disturbed
C23X3AmbientDisturbed,C,2,C2,3X3,Ambient,Disturbed
C2OpenAmbientDisturbed,C,2,C2,Open,Ambient,Disturbed
C31X1EnrichedIntact,C,3,C3,1X1,Enriched,Intact
C32X2EnrichedIntact,C,3,C3,2X2,Enriched,Intact
C33X3EnrichedIntact,C,3,C3,3X3,Enriched,Intact
C3OpenEnrichedIntact,C,3,C3,Open,Enriched,Intact
C41X1EnrichedDisturbed,C,4,C4,1X1,Enriched,Disturbed
C42X2EnrichedDisturbed,C,4,C4,2X2,Enriched,Disturbed
C43X3EnrichedDisturbed,C,4,C4,3X3,Enriched,Disturbed
C4OpenEnrichedDisturbed,C,4,C4,Open,Enriched,Disturbed
D11X1AmbientDisturbed,D,1,D1,1X1,Ambient,Disturbed
D12X2AmbientDisturbed,D,1,D1,2X2,Ambient,Disturbed
D13X3AmbientDisturbed,D,1,D1,3X3,Ambient,Disturbed
D1OpenAmbientDisturbed,D,1,D1,Open,Ambient,Disturbed
D21X1AmbientIntact,D,2,D2,1X1,Ambient,Intact
D22X2AmbientIntact,D,2,D2,2X2,Ambient,Intact
D23X3AmbientIntact,D,2,D2,3X3,Ambient,Intact
D2OpenAmbientIntact,D,2,D2,Open,Ambient,Intact
D31X1EnrichedDisturbed,D,3,D3,1X1,Enriched,Disturbed
D32X2EnrichedDisturbed,D,3,D3,2X2,Enriched,Disturbed
D33X3EnrichedDisturbed,D,3,D3,3X3,Enriched,Disturbed
D3OpenEnrichedDisturbed,D,3,D3,Open,Enriched,Disturbed
D41X1EnrichedIntact,D,4,D4,1X1,Enriched,Intact
D42X2EnrichedIntact,D,4,D4,2X2,Enriched,Intact
D43X3EnrichedIntact,D,4,D4,3X3,Enriched,Intact
D4OpenEnrichedIntact,D,4,D4,Open,Enriched,Intact
